white_rating,black_rating,opening_name,turns
1500,1191,Slav Defense: Exchange Variation,13
1322,1261,Nimzowitsch Defense: Kennedy Variation,16
1496,1500,King's Pawn Game: Leonardis Variation,61
1439,1454,Queen's Pawn Game: Zukertort Variation,61
1523,1469,Philidor Defense,95
1250,1002,Sicilian Defense: Mongoose Variation,5
1520,1423,Blackmar-Diemer Gambit: Pietrowsky Defense,33
1413,2108,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,9
1439,1392,Italian Game: Schilling-Kostic Gambit,66
1381,1209,Scandinavian Defense: Mieses-Kotroc Variation,119
1381,1272,Van't Kruijs Opening,39
1381,1867,French Defense: Advance Variation |  Paulsen Attack,38
1381,1936,French Defense: Knight Variation,60
1381,1607,French Defense #2,31
1094,1141,Four Knights Game: Italian Variation,31
1141,1094,Italian Game: Two Knights Defense |  Knight Attack,43
1094,1141,Four Knights Game: Italian Variation,52
1141,1094,Four Knights Game: Italian Variation,66
1094,1300,Philidor Defense #3,101
1500,1094,Queen's Pawn Game,25
1094,1676,Italian Game: Anti-Fried Liver Defense,14
1094,1068,Horwitz Defense,3
1500,1094,Sicilian Defense: Bowdler Attack,17
1307,1106,English Opening: King's English Variation |  Reversed Closed Sicilian,36
1113,1423,Sicilian Defense: Smith-Morra Gambit #2,13
1078,1219,Queen's Pawn Game: Chigorin Variation,69
1825,1079,Scotch Game: Haxo Gambit,43
1328,1038,Queen's Pawn Game: Chigorin Variation,54
1056,1156,Slav Defense,53
1077,1148,Queen's Gambit Refused: Marshall Defense,66
1358,1036,Sicilian Defense: Smith-Morra Gambit #2,64
1200,1002,Sicilian Defense: Canal Attack |  Main Line,64
1203,1019,Sicilian Defense,54
1019,1500,Queen's Gambit Accepted: Central Variation |  Greco Variation,21
1422,975,Sicilian Defense: Bowdler Attack,11
976,1832,Robatsch (Modern) Defense,19
1569,978,Blackmar-Diemer Gambit: Tartakower Variation,28
978,1500,Indian Game,22
1500,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,37
2449,978,English Opening: King's English Variation |  Reversed Sicilian,34
1207,978,Sicilian Defense: Dragon Variation,32
1241,978,Sicilian Defense: Closed Variation,71
1500,978,Sicilian Defense: Smith-Morra Gambit #2,30
2443,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,66
1500,978,Sicilian Defense: Smith-Morra Gambit #2,41
1500,978,Sicilian Defense: Bowdler Attack,49
978,1500,Scandinavian Defense,3
1343,978,Sicilian Defense: Bowdler Attack,7
2436,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,35
2436,978,Scandinavian Defense: Mieses-Kotroc Variation,41
978,1500,French Defense: Normal Variation,5
1500,978,King's Pawn Game: Beyer Gambit,7
978,1500,Dutch Defense,53
1500,978,English Opening: King's English Variation,36
1521,1162,Zukertort Opening: Ross Gambit,8
1407,1500,Sicilian Defense: Closed Variation,3
1492,1458,Vienna Game: Mengarini Variation,28
1414,1442,Philidor Defense: Larsen Variation,30
1457,1294,Scotch Game,44
1525,1466,Philidor Defense: Lopez Countergambit,29
1207,1579,French Defense: Knight Variation,37
1567,1573,Modern Defense,49
1578,1605,Horwitz Defense,32
1939,1581,Blumenfeld Countergambit #2,25
1618,1568,French Defense #2,40
1755,1574,Zukertort Opening: Kingside Fianchetto,39
1561,1596,Indian Game,57
1500,1554,French Defense: Queen's Knight,78
1544,1461,Queen's Pawn Game: Mason Attack,61
1563,1335,Queen's Pawn Game: Mason Attack,44
1579,1470,Queen's Pawn,62
1617,1590,Indian Game,87
1207,1588,French Defense: Advance |  Steinitz Variation,54
1595,1547,Queen's Pawn Game: Mason Attack,54
1855,1599,French Defense: Exchange Variation,37
1589,1547,Horwitz Defense,50
1571,1728,Queen's Pawn Game: London System,131
1720,1579,French Defense: Chigorin Variation,48
1579,2105,Queen's Pawn Game: London System,47
1768,1560,French Defense: La Bourdonnais Variation,64
1552,1436,Queen's Pawn Game: Mason Attack,61
1536,1667,Queen's Pawn Game: London System,57
1521,1549,English Opening: Anglo-Lithuanian Variation,51
1251,1545,Crab Opening,58
1537,1408,Queen's Pawn Game: Mason Attack,71
1522,1512,Queen's Pawn,114
1602,1532,French Defense: Winawer Variation |  Advance Variation #2,39
1543,1593,Queen's Pawn Game: London System,20
1556,1539,Queen's Pawn Game: Mason Attack,48
1409,1548,French Defense: Knight Variation,34
1539,1418,Queen's Pawn Game: London System,51
1603,1550,French Defense: Queen's Knight,69
1542,1399,Queen's Pawn Game: Steinitz Countergambit,28
1546,1877,Queen's Pawn Game: London System,62
1134,1535,Queen's Indian Defense,62
1513,1784,Horwitz Defense,85
1501,1445,Queen's Pawn Game: London System,38
1500,1500,Italian Game: Giuoco Pianissimo |  Normal,14
1745,1714,Queen's Gambit Refused: Marshall Defense,113
1734,1748,Queen's Gambit Refused: Marshall Defense,62
